run, evt, int, seg, x, y, z, e
150160, 2, 1, 15, -7.48,  0.61, 28.29,    2.85
150160, 3, 1, 15, -14.22, -0.15, 31.38,    2.70
150161, 1, 1, 15, -19.20,  9.12, 34.23,    2.77
150161, 2, 1, 15, -9.02,  0.85, 34.32,    2.76
150161, 3, 1, 15, -14.58,  0.30, 33.13,    2.69
160160, 1, 1, 9, -9.01,  0.71, 22.81,    2.78
160160, 2, 1, 15, -8.55, -0.33, 35.18,    2.81
160160, 3, 1, 9, -4.02,  0.68, 17.51,   -1.44
160160, 3, 2, 9, -6.00,  0.07, 25.44,    7.47
160161, 1, 1, 9, -9.01,  0.71, 22.81,    2.78
160161, 2, 1, 15, -9.22,  0.85, 34.44,    2.76
160161, 3, 1, 15, -6.91, -0.91, 28.24,    5.11
160161, 1, 1, 15, -8.55, -0.33, 35.19,    2.81
160161, 2, 1, 15, -9.22,  0.87, 34.45,    2.76
160161, 3, 1, 15, -8.70, -0.32, 30.87,    2.78
